id,Location,return_date,start_ date,FF2,item_description,quantity,cost_amount
200,2790_1512 INT SAUSALITO ARMS APT (STG),2011/5/15,2011/5/10,TAX,WOOD FRM SOFA SALV ARMY,0,14
201,2790_1512 INT SAUSALITO ARMS APT (STG),2011/5/15,2011/5/10,LP,BLONDE COMP DSK SALV ARMY,2,99.99
202,2790_1512 INT SAUSALITO ARMS APT (STG),2011/5/15,2011/5/10,TAX,BLONDE COMP DSK SALV ARMY,0,8.75
335,2790_1520 INT MOLLYINCHS ROOM,2011/6/12,2011/5/12,LP,WOOD CHEST OF DRAWERS_COMPASS,1,225
336,2790_1520 INT MOLLYINCHS ROOM,2011/6/12,2011/5/12,TAX,WOOD CHEST OF DRAWERS_COMPASS,0,19.69
337,2790_1520 INT MOLLYINCHS ROOM,2011/6/12,2011/5/12,LP,SLATED WOOD HEAD/FOOTBRD_COMPA,1,190
338,2790_1520 INT MOLLYINCHS ROOM,2011/6/12,2011/5/12,TAX,SLATED WOOD HEAD/FOOTBRD_COMPA,0,16.63
339,2790_1520 INT MOLLYINCHS ROOM,2011/6/12,2011/5/12,LP,LAMP_SAILBOAT_COMPASS,1,95
340,2790_1520 INT MOLLYINCHS ROOM,2011/6/12,2011/5/12,TAX,LAMP_SAILBOAT_COMPASS,0,8.31
341,2790_1520 INT MOLLYINCHS ROOM,2011/6/12,2011/5/12,LP,LAMP/TOY/CLOTHES RACK,1,124
342,2790_1520 INT MOLLYINCHS ROOM,2011/6/12,2011/5/12,TAX,LAMP/TOY/CLOTHES RACK,0,11.39
343,2790_1520 INT MOLLYINCHS ROOM,2011/6/24,2011/5/24,LP,3INCH SQUARE MODRN ART_REN INTERI,1,95
344,2790_1520 INT MOLLYINCHS ROOM,2011/6/24,2011/5/24,TAX,3INCH SQUARE MODRN ART_REN INTERI,0,8.31
345,2790_1520 INT MOLLYINCHS ROOM,2011/6/24,2011/5/24,LP,VINTAGE STRAW HAT_REN INTERIOR,1,395
346,2790_1520 INT MOLLYINCHS ROOM,2011/6/24,2011/5/24,TAX,VINTAGE STRAW HAT_REN INTERIOR,0,34.56
347,2790_1520 INT MOLLYINCHS ROOM,2011/6/24,2011/5/24,LP,ITALIAN BOWL_REN INTERIORS,10,375
348,2790_1520 INT MOLLYINCHS ROOM,2011/6/24,2011/5/24,TAX,ITALIAN BOWL_REN INTERIORS,0,32.81
349,2790_1520 INT MOLLYINCHS ROOM,2011/7/2,2011/6/2,LP,CD ED SHARPE&MAG ZERO_B.BUY,3,12.99
350,2790_1520 INT MOLLYINCHS ROOM,2011/7/2,2011/6/2,TAX,CD ED SHARPE&MAG ZERO_B.BUY,0,1.14
351,2790_1520 INT MOLLYINCHS ROOM,2011/7/2,2011/6/2,LP,SHELF SALV ARMY,1,99.99
352,2790_1520 INT MOLLYINCHS ROOM,2011/7/2,2011/6/2,TAX,SHELF SALV ARMY,0,8.75
